ID,Book,Authors,Subjects,Bookshelves
82,Ivanhoe: A Romance,"Scott, Walter, 1771-1832","Historical fiction; Knights and knighthood -- Fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Great Britain -- History -- Richard I, 1189-1199 -- Fiction; Jews -- England -- Fiction; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction; Anglo-Saxons -- Fiction; Normans -- Great Britain -- Fiction",Historical Fiction
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules, 1828-1905",Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction,Movie Books
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules, 1828-1905",Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction,Science Fiction
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",Precursors of Science Fiction
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",Gothic Fiction
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",Movie Books
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",Science Fiction by Women
85,The Beasts of Tarzan,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Jungle animals -- Fiction; Adventure stories,Movie Books
85,The Beasts of Tarzan,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Jungle animals -- Fiction; Adventure stories,Adventure
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910",Fantasy fiction; Satire; Knights and knighthood -- Fiction; Arthurian romances -- Adaptations; Time travel -- Fiction; Americans -- Great Britain -- Fiction; Kings and rulers -- Fiction; Britons -- Fiction,Precursors of Science Fiction
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910",Fantasy fiction; Satire; Knights and knighthood -- Fiction; Arthurian romances -- Adaptations; Time travel -- Fiction; Americans -- Great Britain -- Fiction; Kings and rulers -- Fiction; Britons -- Fiction,Arthurian Legends
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks
90,The Son of Tarzan,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,Adventure
